instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,casual_daily,registered_daily,cnt_daily
1,2011-01-01,Springer,2011,January,0,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2879,0.81,0.0,3,13,16,331,654,985
2,2011-01-01,Springer,2011,January,1,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2727,0.8,0.0,8,32,40,331,654,985
3,2011-01-01,Springer,2011,January,2,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2727,0.8,0.0,5,27,32,331,654,985
4,2011-01-01,Springer,2011,January,3,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2879,0.75,0.0,3,10,13,331,654,985
5,2011-01-01,Springer,2011,January,4,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2879,0.75,0.0,0,1,1,331,654,985
6,2011-01-01,Springer,2011,January,5,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.24,0.2576,0.75,0.0896,0,1,1,331,654,985
7,2011-01-01,Springer,2011,January,6,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.22,0.2727,0.8,0.0,2,0,2,331,654,985
8,2011-01-01,Springer,2011,January,7,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2,0.2576,0.86,0.0,1,2,3,331,654,985
9,2011-01-01,Springer,2011,January,8,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.24,0.2879,0.75,0.0,1,7,8,331,654,985
10,2011-01-01,Springer,2011,January,9,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.32,0.3485,0.76,0.0,8,6,14,331,654,985
11,2011-01-01,Springer,2011,January,10,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.38,0.3939,0.76,0.2537,12,24,36,331,654,985
12,2011-01-01,Springer,2011,January,11,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.36,0.3333,0.81,0.2836,26,30,56,331,654,985
13,2011-01-01,Springer,2011,January,12,0,Saturday,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.42,0.4242,0.77,0.2836,29,55,84,331,654,985
14,2011-01-01,Springer,2011,January,13,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.72,0.2985,47,47,94,331,654,985
15,2011-01-01,Springer,2011,January,14,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.72,0.2836,35,71,106,331,654,985
16,2011-01-01,Springer,2011,January,15,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.44,0.4394,0.77,0.2985,40,70,110,331,654,985
17,2011-01-01,Springer,2011,January,16,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.42,0.4242,0.82,0.2985,41,52,93,331,654,985
18,2011-01-01,Springer,2011,January,17,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.44,0.4394,0.82,0.2836,15,52,67,331,654,985
19,2011-01-01,Springer,2011,January,18,0,Saturday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.42,0.4242,0.88,0.2537,9,26,35,331,654,985
20,2011-01-01,Springer,2011,January,19,0,Saturday,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.42,0.4242,0.88,0.2537,6,31,37,331,654,985
21,2011-01-01,Springer,2011,January,20,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.87,0.2537,11,25,36,331,654,985
22,2011-01-01,Springer,2011,January,21,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.87,0.194,3,31,34,331,654,985
23,2011-01-01,Springer,2011,January,22,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.94,0.2239,11,17,28,331,654,985
24,2011-01-01,Springer,2011,January,23,0,Saturday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.88,0.2985,15,24,39,331,654,985
25,2011-01-02,Springer,2011,January,0,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.88,0.2985,4,13,17,131,670,801
26,2011-01-02,Springer,2011,January,1,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.44,0.4394,0.94,0.2537,1,16,17,131,670,801
27,2011-01-02,Springer,2011,January,2,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.42,0.4242,1.0,0.2836,1,8,9,131,670,801
28,2011-01-02,Springer,2011,January,3,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.94,0.194,2,4,6,131,670,801
29,2011-01-02,Springer,2011,January,4,0,Sunday,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.94,0.194,2,1,3,131,670,801
